File name,Time,Best primal bound,Active columns in best primal sol,Total columns generated,Solved to optimality
RKP_WC_n20_R1000_H100_h80_dev0.1_d0.5,4.32243,7897.28,5,741,1
RKP_WC_n20_R1000_H100_h80_dev0.1_d1,3.1793,7475.06,5,638,1
RKP_WC_n20_R1000_H100_h80_dev0.2_d0.1,33.6974,6854.5,10,3828,1
RKP_WC_n20_R1000_H100_h80_dev0.2_d0.5,8.42958,5742.36,11,1635,1
RKP_WC_n20_R1000_H100_h80_dev0.2_d1,1.63991,6927.94,11,387,1
RKP_ASC_n30_R1000_H100_h40_dev0.15_d0.1,TIME_LIMIT,6324,1,43614,0
RKP_ASC_n30_R1000_H100_h40_dev0.15_d0.5,TIME_LIMIT,7442.31,7,39916,0
RKP_ASC_n30_R1000_H100_h40_dev0.15_d1,2123.26,6969.26,7,18777,1
RKP_ASC_n30_R1000_H100_h40_dev0.1_d0.1,118.817,5794.25,9,6182,1
RKP_ASC_n30_R1000_H100_h40_dev0.1_d0.5,1708.67,7254.49,4,23526,1
RKP_ASC_n30_R1000_H100_h40_dev0.1_d1,376.02,6772.26,4,8027,1
RKP_ASC_n30_R1000_H100_h40_dev0.2_d0.1,TIME_LIMIT,6405,1,46191,0
RKP_ASC_n30_R1000_H100_h40_dev0.2_d0.5,TIME_LIMIT,5652.01,13,48926,0
RKP_ASC_n30_R1000_H100_h40_dev0.2_d1,611.378,6445.05,9,16304,1
RKP_ASC_n30_R1000_H100_h80_dev0.15_d0.1,70.8622,13939.3,10,4673,1
RKP_ASC_n30_R1000_H100_h80_dev0.15_d0.5,31.7416,12338,8,2708,1
RKP_ASC_n30_R1000_H100_h80_dev0.15_d1,38.3449,12067.8,8,3087,1
RKP_ASC_n30_R1000_H100_h80_dev0.1_d0.1,21.1885,13895.7,4,2275,1
RKP_ASC_n30_R1000_H100_h80_dev0.1_d0.5,17.5464,14185.5,7,1570,1
RKP_ASC_n30_R1000_H100_h80_dev0.1_d1,14.3789,11390.6,9,1162,1
RKP_ASC_n30_R1000_H100_h80_dev0.2_d0.1,179.08,12190.7,12,7204,1
RKP_ASC_n30_R1000_H100_h80_dev0.2_d0.5,210.519,12931.1,10,7467,1
RKP_ASC_n30_R1000_H100_h80_dev0.2_d1,22.6557,11268.9,13,2418,1
RKP_SC_n30_R1000_H100_h40_dev0.15_d0.1,TIME_LIMIT,6416.52,8,46332,0
RKP_SC_n30_R1000_H100_h40_dev0.15_d0.5,TIME_LIMIT,6424,1,40131,0
RKP_SC_n30_R1000_H100_h40_dev0.15_d1,69.4377,6526.2315,3,4334,1
RKP_SC_n30_R1000_H100_h40_dev0.1_d0.1,3396.05,7143.29,7,27408,1
RKP_SC_n30_R1000_H100_h40_dev0.1_d0.5,534.036,7169.19,3,11869,1
RKP_SC_n30_R1000_H100_h40_dev0.1_d1,11.0631,6818,1,1237,1
RKP_SC_n30_R1000_H100_h40_dev0.2_d0.1,7180.12,6029.89,12,40385,1
RKP_SC_n30_R1000_H100_h40_dev0.2_d0.5,TIME_LIMIT,5830.36,13,42341,0
RKP_SC_n30_R1000_H100_h40_dev0.2_d1,634.257,7102.99,7,16310,1
RKP_SC_n30_R1000_H100_h80_dev0.15_d0.1,91.7929,13702.9,9,5522,1
RKP_SC_n30_R1000_H100_h80_dev0.15_d0.5,11.5042,11088.4,11,1658,1
RKP_SC_n30_R1000_H100_h80_dev0.15_d1,64.7808,13800.8,12,3290,1
RKP_SC_n30_R1000_H100_h80_dev0.1_d0.1,8.22039,12127.9,6,915,1
RKP_SC_n30_R1000_H100_h80_dev0.1_d0.5,6.89677,12461.4,5,837,1
RKP_SC_n30_R1000_H100_h80_dev0.1_d1,18.3606,12961.4,8,1343,1
RKP_SC_n30_R1000_H100_h80_dev0.2_d0.1,33.2742,10094.2,12,2908,1
RKP_SC_n30_R1000_H100_h80_dev0.2_d0.5,11.2298,11391,12,1572,1
RKP_SC_n30_R1000_H100_h80_dev0.2_d1,43.4858,12386.3,10,3449,1
RKP_UN_n30_R1000_H100_h40_dev0.15_d0.1,1.1966,10768.1,14,364,1
RKP_UN_n30_R1000_H100_h40_dev0.15_d0.5,2.19326,10565.6,12,539,1
RKP_UN_n30_R1000_H100_h40_dev0.15_d1,1.99035,8409.72,12,457,1
RKP_UN_n30_R1000_H100_h40_dev0.1_d0.1,2.34867,9728.95,6,469,1
RKP_UN_n30_R1000_H100_h40_dev0.1_d0.5,1.55131,11068.8,7,335,1
RKP_UN_n30_R1000_H100_h40_dev0.1_d1,1.22828,7408.58,9,298,1
RKP_UN_n30_R1000_H100_h40_dev0.2_d0.1,3.33113,8428,1,743,1
RKP_UN_n30_R1000_H100_h40_dev0.2_d0.5,1.55895,8727.87,10,507,1
RKP_UN_n30_R1000_H100_h40_dev0.2_d1,0.525873,8840.26,10,146,1
RKP_UN_n30_R1000_H100_h80_dev0.15_d0.1,0.493219,11244.7,13,97,1
RKP_UN_n30_R1000_H100_h80_dev0.15_d0.5,0.442642,12616.9,18,115,1
RKP_UN_n30_R1000_H100_h80_dev0.15_d1,0.935041,13920,18,196,1
RKP_UN_n30_R1000_H100_h80_dev0.1_d0.1,0.311723,11439.4,18,79,1
RKP_UN_n30_R1000_H100_h80_dev0.1_d0.5,1.45521,13785.5,8,210,1
RKP_UN_n30_R1000_H100_h80_dev0.1_d1,0.490189,14175.5,8,130,1
RKP_UN_n30_R1000_H100_h80_dev0.2_d0.1,1.16634,13132.8,14,198,1
RKP_UN_n30_R1000_H100_h80_dev0.2_d0.5,1.13908,12602.3,15,217,1
RKP_UN_n30_R1000_H100_h80_dev0.2_d1,0.772772,13501.7,19,169,1
RKP_WC_n30_R1000_H100_h40_dev0.15_d0.1,567.961,5000,1,17031,1
RKP_WC_n30_R1000_H100_h40_dev0.15_d0.5,1226.96,5351.85,11,23240,1
